PROJECT, SAMPLE_NUMBER, PROGRAM, SUB_PROGRAM, SAMPLING_POINT, SP_DESCRIPTION, SAMPLING_POINT_GROUP, CUSTOMER_SAMPLE_ID, QA_CODE, SAMPLED_BY, SAMPLED_DATE, RECD_DATE, RECEIPT_TEMP, REPORTED_NAME, COMPONENT, RESULT, UNITS, MRL, ANALYSIS_DATE, DEPTH, DEPTH_UNITS, COLLECT_TYPE, SAMPLE_NOTES, TEST_NOTES, RESULT_NOTES
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.7 Trace Elements,"Boron, Dissolved",1280,µg/L,20,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.7 Trace Elements,"Iron, Dissolved",<20.0,µg/L,20,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Beryllium, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Aluminum, Dissolved",<10.0,µg/L,10,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Vanadium, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Chromium, Dissolved",2.18,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Manganese, Dissolved",2.96,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Cobalt, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Nickel, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Copper, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Zinc, Dissolved",<5.00,µg/L,5,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Arsenic, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Selenium, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Molybdenum, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Silver, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
